area,avg,floor,info,market,title,total,xiaoqu
武夷花园,单价52123元/平米,高楼层(共12层)2004年建板楼  -  , | 2室1厅 | 105.52平米 | 南 北 | 精装,6人关注 / 14天以前发布,"：
临河里,单价47620元/平米,低楼层(共12层)2006年建板塔结合  -  , | 2室2厅 | 94.5平米 | 西 北 | 精装,0人关注 / 24天以前发布,花涧溪小区 正规2居室 西北朝向 满五年唯一,450,花涧溪 
临河里,单价48321元/平米,高楼层(共15层)2009年建板楼  -  , | 2室1厅 | 88.99平米 | 南 北 | 精装,0人关注 / 23天以前发布,金隅七零九零 2室1厅 430万,430,金隅七零九零 
马驹桥,单价30954元/平米,中楼层(共14层)2009年建板楼  -  , | 2室1厅 | 93.69平米 | 南 北 | 简装,9人关注 / 21天以前发布,南北通透 明厨明卫 中楼层 两居室,290,珠江逸景 
潞苑,单价51950元/平米,高楼层(共14层)2009年建板塔结合  -  , | 2室1厅 | 93.36平米 | 南 北 | 简装,1人关注 / 21天以前发布,古韵新居 2室1厅 485万,485,古韵新居 
通州其它,单价47040元/平米,低楼层(共16层)2012年建板楼  -  , | 2室1厅 | 87.16平米 | 南 北 | 精装,7人关注 / 19天以前发布,此房满五年，且家庭名下只有一套房，精装修,410,润枫领尚 
临河里,单价49359元/平米,中楼层(共14层)2010年建板楼  -  , | 2室1厅 | 91.17平米 | 南 | 精装,8人关注 / 17天以前发布,DBC加州小镇C区 2室1厅 450万,450,DBC加州小镇C区 
梨园,单价51989元/平米,中楼层(共14层)2010年建板塔结合  -  , | 2室1厅 | 90.02平米 | 南 北 | 精装,4人关注 / 16天以前发布,新通国际 精装南北通透两居 满五年唯一 中间楼层,468,新通国际花园 
万达,单价45760元/平米,高楼层(共7层)1986年建板楼  -  , | 2室1厅 | 55.07平米 | 南 北 | 简装,2人关注 / 5天以前发布,新华西街 2室1厅 252万,252,新华西街 
临河里,单价52960元/平米,中楼层(共28层)2010年建板塔结合  -  , | 2室1厅 | 96.3平米 | 南 北 | 精装,36人关注 / 9个月以前发布,南北通透两居室 契税票满五年 业主诚意出售,510,华业东方玫瑰A区 
九棵树(家乐福),单价37667元/平米,中楼层(共22层)2008年建板塔结合  -  , | 2室1厅 | 87.61平米 | 东 | 简装,24人关注 / 8个月以前发布,大方居 东向两居室 室内明亮 看房随时 诚心出售可签约,330,大方居 
武夷花园,单价54606元/平米,中楼层(共28层)2011年建塔楼  -  , | 2室1厅 | 73.07平米 | 东南 | 简装,22人关注 / 1个月以前发布,京贸国际城西区 2室1厅 399万,399,京贸国际城西区 
果园,单价48255元/平米,中楼层(共7层)2004年建板楼  -  , | 2室1厅 | 113.98平米 | 南 北 | 简装,129人关注 / 一年前发布,新华联家园北区 2室1厅 550万,550,新华联家园北区 
梨园,单价45911元/平米,顶层(共6层)2005年建板楼  -  , | 2室1厅 | 84.73平米 | 南 北 | 精装,109人关注 / 一年前发布,顶层带阁楼，满五年，只交契税，南北通透不临街,389,站前巴黎 
马驹桥,单价30927元/平米,中楼层(共15层)2010年建板塔结合  -  , | 2室1厅 | 94.74平米 | 南 北 | 精装,95人关注 / 一年前发布,70年大产权 全明格局 南北通透 视野开阔无遮挡,293,珠江逸景 
临河里,单价57579元/平米,低楼层(共18层)2007年建塔楼  -  , | 2室1厅 | 85.97平米 | 南 | 精装,91人关注 / 一年前发布,全南方正户型 视野好 全明格局 直接能够拎包入住,495,瑞都公园世家南区 
通州北苑,单价44385元/平米,低楼层(共29层)2004年建塔楼  -  , | 2室1厅 | 96.88平米 | 西南 | 简装,38人关注 / 一年前发布,正规二居室，24小时温泉入户，房子自住,430,京贸国际公寓 
万达,单价46410元/平米,底层(共6层)1998年建板楼  -  , | 2室1厅 | 65.72平米 | 东 西 | 简装,136人关注 / 一年前发布,此房满五年，低楼层，万达商圈，通州北苑地铁站,305,通惠南路 
果园,单价47269元/平米,中楼层(共16层)2004年建板塔结合  -  , | 2室2厅 | 110.01平米 | 南 | 精装,6人关注 / 3个月以前发布,果园环岛  大两居  房本已经满5年,520,蓝山国际公寓 
通州北苑,单价52465元/平米,高楼层(共23层)2004年建塔楼  -  , | 2室1厅 | 101.02平米 | 南 北 | 精装,11人关注 / 3个月以前发布,通典铭居南北通透大两居，露台视野开阔，交通便利,530,通典铭居 
通州北苑,单价46451元/平米,顶层(共6层)2001年建板楼  -  , | 2室1厅 | 64.37平米 | 南 北 | 简装,57人关注 / 3个月以前发布,通州万达商圈 南北通透2居，带12.3平米露台,299,杨庄22号院 
梨园,单价42875元/平米,底层(共6层)2000年建板楼  -  , | 2室2厅 | 80平米 | 南 北 | 精装,35人关注 / 3个月以前发布,云景西里南区 2居室 南北朝向,343,云景西里南区 
九棵树(家乐福),单价39168元/平米,顶层(共6层)2001年建板楼  -  , | 2室2厅 | 85.53平米 | 南 北 | 简装,49人关注 / 2个月以前发布,满五唯一  南北通透 果园地铁（高德地图769米）,335,怡乐北街 
北关,单价42052元/平米,中楼层(共6层)2003年建板楼  -  , | 2室2厅 | 97.5平米 | 南 北 | 精装,31人关注 / 2个月以前发布,北关商务区  南北通透两居室 适合居住,410,馨通家园 
九棵树(家乐福),单价43260元/平米,高楼层(共6层)2001年建板楼  -  , | 2室2厅 | 85.53平米 | 南 北 | 简装,9人关注 / 2个月以前发布,怡乐北街 南北向两居 诚心出售,370,怡乐北街 
果园,单价43438元/平米,高楼层(共11层)2005年建板楼  -  , | 2室1厅 | 116.26平米 | 南 北 | 精装,8人关注 / 2个月以前发布,"南北通透，楼层好，户型方正带电梯采光充足,交通便利",505,雅丽世居 
玉桥,单价45027元/平米,低楼层(共6层)1996年建板楼  -  , | 2室1厅 | 74.4平米 | 南 北 | 精装,28人关注 / 1个月以前发布,玉桥南里  低楼层 南北通透 两居室 满五年,335,玉桥南里 
乔庄,单价46243元/平米,中楼层(共11层)2006年建板塔结合  -  , | 2室1厅 | 95.15平米 | 南 北 | 简装,33人关注 / 1个月以前发布,博客园南北通透两居室，满五唯一,440,博客园 
临河里,单价40343元/平米,低楼层(共22层)2011年建板塔结合  -  , | 2室1厅 | 83.04平米 | 南 | 其他,3人关注 / 1个月以前发布,金隅通和园 2室1厅 335万,335,金隅通和园 
临河里,单价56154元/平米,高楼层(共27层)2011年建板塔结合  -  , | 2室1厅 | 85.48平米 | 东北 | 简装,0人关注 / 19天以前发布,海棠湾二期 2室1厅 480万,480,海棠湾二期 
临河里,单价53766元/平米,高楼层(共27层)2012年建板楼  -  , | 2室1厅 | 90.95平米 | 南 | 精装,7人关注 / 11天以前发布,全南向 高楼层 视野好 装修好,489,华业东方玫瑰D区 
玉桥,单价46055元/平米,顶层(共6层)2000年建板楼  -  , | 2室1厅 | 90.98平米 | 南 北 | 精装,5人关注 / 11天以前发布,玉桥西里70号院 2室1厅 419万,419,玉桥西里70号院 
潞苑,单价68167元/平米,高楼层(共9层)2012年建塔楼  -  , | 2室2厅 | 88.02平米 | 南 | 其他,1人关注 / 4天以前发布,K2清水湾 2室2厅 600万,600,K2清水湾 
武夷花园,单价62738元/平米,中楼层(共6层)2004年建板楼  -  , | 2室1厅 | 105.2平米 | 南 北 | 精装,2人关注 / 4天以前发布,BOBO自由城 2室1厅 660万,660,BOBO自由城 
临河里,单价58208元/平米,低楼层(共15层)2007年建板楼  -  , | 2室1厅 | 94.49平米 | 南 北 | 其他,1人关注 / 3天以前发布,房子户型方正，南北通透，楼层好，视野宽阔,550,瑞都公园世家南区 
果园,单价43165元/平米,高楼层(共7层)2002年建板楼  -  , | 2室1厅 | 91.51平米 | 南 北 | 简装,23人关注 / 10个月以前发布,满五唯一商品房，南北通透，采光面广,395,达富苑 
梨园,单价49910元/平米,低楼层(共15层)2005年建板塔结合  -  , | 2室1厅 | 72.13平米 | 西南 | 精装,56人关注 / 9个月以前发布,梨园城铁站 满五年 视野开阔，带电梯,360,梨园小镇 
武夷花园,单价47105元/平米,中楼层(共28层)2004年建塔楼  -  , | 2室1厅 | 97.23平米 | 东北 | 精装,59人关注 / 9个月以前发布,中间楼层正规两居室 婚房装修 满五唯一 诚心出售,458,河畔丽景 
九棵树(家乐福),单价64704元/平米,中楼层(共20层)2012年建塔楼  -  , | 2室1厅 | 89.64平米 | 南 | 精装,49人关注 / 9个月以前发布,社区安静，管家一对一封闭式管理,580,龙湖蔚澜香醍 
潞苑,单价46260元/平米,高楼层(共6层)2003年建板楼  -  , | 2室1厅 | 88.63平米 | 南 北 | 简装,60人关注 / 8个月以前发布,通州新城副中心 五河交汇处 满五唯一,410,澜花语岸 
万达,单价47439元/平米,顶层(共6层)1996年建板楼  -  , | 2室1厅 | 94.86平米 | 南 北 | 简装,21人关注 / 7个月以前发布,此房是南北正规两居室，阳光照射充足，前面无遮挡。,450,帅府园 
梨园,单价44108元/平米,中楼层(共6层)1994年建板楼  -  , | 2室1厅 | 72.55平米 | 南 北 | 简装,82人关注 / 7个月以前发布,低总价，东南向两居室，无遮挡，中间楼层,320,云景西里南区 
梨园,单价53586元/平米,高楼层(共12层)2006年建板塔结合  -  , | 2室1厅 | 87.71平米 | 南 | 简装,24人关注 / 6个月以前发布,当代名筑 2室1厅 470万,470,当代名筑 
武夷花园,单价60764元/平米,低楼层(共36层)2011年建塔楼  -  , | 2室1厅 | 92.16平米 | 南 | 简装,10人关注 / 5个月以前发布,京贸国际城西区 2室1厅 560万,560,京贸国际城西区 
临河里,单价56997元/平米,中楼层(共18层)2007年建塔楼  -  , | 2室2厅 | 85.97平米 | 南 | 精装,33人关注 / 5个月以前发布,南向两居室，楼层好，楼间距大，满五唯一,490,瑞都公园世家南区 
玉桥,单价45445元/平米,高楼层(共24层)2010年建板楼  -  , | 2室1厅 | 87.36平米 | 南 北 | 精装,24人关注 / 5个月以前发布,玉桥东里 2室1厅 397万,397,玉桥东里 
通州北苑,单价43697元/平米,顶层(共6层)1983年建板楼  -  , | 2室1厅 | 63.85平米 | 南 北 | 精装,144人关注 / 5个月以前发布,经纬小区 满五唯一 精装修 距离北苑地铁255米,279,经纬小区 
北关,单价43893元/平米,中楼层(共6层)2003年建板楼  -  , | 2室1厅 | 92.27平米 | 南 北 | 精装,79人关注 / 11个月以前发布,朝通嘉园，满五唯一，南北温馨两居室。,405,朝通嘉园 
果园,单价59524元/平米,中楼层(共11层)2007年建板塔结合  -  , | 2室1厅 | 76.44平米 | 南 | 精装,73人关注 / 10个月以前发布,巴克摩界南向LOFT 满五唯一 正常层高 70年住宅,455,巴克摩界 
梨园,单价59668元/平米,顶层(共10层)2004年建板塔结合  -  , | 2室1厅 | 70.39平米 | 西南 北 | 精装,123人关注 / 10个月以前发布,满五唯一两居室70.39㎡。带露台33.9㎡,420,时尚街区东区 
潞苑,单价40072元/平米,中楼层(共6层)2002年建板楼  -  , | 2室1厅 | 94.83平米 | 南 | 精装,113人关注 / 9个月以前发布,新潮嘉园一期 2室1厅 380万,380,新潮嘉园一期 
北关,单价48365元/平米,中楼层(共6层)1995年建板楼  -  , | 2室1厅 | 70.3平米 | 南 | 简装,34人关注 / 9个月以前发布,富河园 2室1厅 340万,340,富河园 
梨园,单价50515元/平米,中楼层(共6层)1992年建板楼  -  , | 2室1厅 | 62.16平米 | 南 北 | 精装,19人关注 / 6个月以前发布,梨花园 2室1厅 314万,314,梨花园 
北关,单价47577元/平米,底层(共6层)2004年建板楼  -  , | 2室1厅 | 100.89平米 | 南 北 | 简装,106人关注 / 6个月以前发布,天赐南北通透大两居，一层带花园，不临街不把边,480,天赐良园东三期 
临河里,单价42956元/平米,中楼层(共5层)2005年建板楼  -  , | 2室1厅 | 88.23平米 | 南 北 | 精装,20人关注 / 5个月以前发布,迎喜家园 2室1厅 379万,379,迎喜家园 
通州北苑,单价49426元/平米,低楼层(共18层)2009年建板楼  -  , | 2室2厅 | 99.14平米 | 南 北 | 简装,26人关注 / 4个月以前发布,世纪星城 中间位置 南北通透 全明格局,490,世纪星城三期 
九棵树(家乐福),单价48915元/平米,顶层(共5层)2005年建板楼  -  , | 2室2厅 | 98.13平米 | 南 北 | 简装,17人关注 / 4个月以前发布,满五唯一，带露台，业主靠谱诚心出售。,480,蓝调沙龙东区 
万达,单价44960元/平米,高楼层(共6层)1987年建板楼  -  , | 2室1厅 | 57.83平米 | 南 北 | 简装,59人关注 / 3个月以前发布,西营前街 2室1厅 260万,260,西营前街 
梨园,单价40605元/平米,顶层(共6层)2002年建板楼  -  , | 2室2厅 | 90.63平米 | 南 北 | 简装,18人关注 / 3个月以前发布,满五唯一，采光好，南北通透，出行方便,368,云景里南大门 
临河里,单价51202元/平米,高楼层(共28层)2010年建板塔结合  -  , | 2室1厅 | 95.7平米 | 东 南 北 | 其他,6人关注 / 3天以前发布,华业东方玫瑰A区 2室1厅 490万,490,华业东方玫瑰A区 
武夷花园,单价47825元/平米,中楼层(共28层)2004年建塔楼  -  , | 2室1厅 | 97.23平米 | 东北 | 精装,11人关注 / 5个月以前发布,运河边正规两居室 电梯房 满五年唯一 无遮挡采光好,465,河畔丽景 
玉桥,单价47457元/平米,中楼层(共6层)1995年建板楼  -  , | 2室1厅 | 67.22平米 | 南 北 | 简装,33人关注 / 5个月以前发布,南北通透两居室 楼层适中 适合居住,319,玉桥南里 
临河里,单价41585元/平米,顶层(共5层)2001年建板楼  -  , | 2室1厅 | 86.09平米 | 南 北 | 简装,13人关注 / 4个月以前发布,满五年唯一，小区中间位置，不把边，不临街,358,群芳园 
乔庄,单价41728元/平米,中楼层(共6层)1993年建板楼  -  , | 2室2厅 | 88.67平米 | 南 北 | 简装,10人关注 / 4个月以前发布,乔庄西区 低楼层 正规两居室 有钥匙 随时看房,370,乔庄西区 
万达,单价40366元/平米,中楼层(共6层)1995年建板楼  -  , | 2室1厅 | 75.56平米 | 东 西 | 简装,10人关注 / 4个月以前发布,北关商务区 东西通透两居 满五唯一,305,永顺南街308号院 
潞苑,单价45818元/平米,低楼层(共10层)2010年建板塔结合  -  , | 2室1厅 | 93.85平米 | 南 北 | 精装,6人关注 / 3个月以前发布,珠江拉维小镇 2室1厅 430万,430,珠江拉维小镇 
临河里,单价52837元/平米,低楼层(共27层)2012年建板塔结合  -  , | 2室1厅 | 89.9平米 | 南 | 精装,14人关注 / 1个月以前发布,精装修全南向两居室 采光充足 拎包入住,475,华业东方玫瑰D区 
武夷花园,单价51251元/平米,低楼层(共11层)2005年建板楼  -  , | 2室2厅 | 97.56平米 | 南 北 | 简装,30人关注 / 5个月以前发布,南北通透格局方正，采光充足，楼层好,500,加华印象街 
临河里,单价51313元/平米,低楼层(共22层)2013年建板塔结合  -  , | 2室1厅 | 83.41平米 | 东 西 | 精装,34人关注 / 2个月以前发布,精装修复式两居室 动静分离，中间楼层 ， 双卫生间,428,华业东方玫瑰B区 
果园,单价45982元/平米,低楼层(共11层)2005年建板塔结合  -  , | 2室2厅 | 108.74平米 | 南 北 | 精装,4人关注 / 10个月以前发布,苏荷时代  精装修   满五唯一,500,苏荷时代 
通州北苑,单价46886元/平米,高楼层(共32层)2008年建板楼  -  , | 2室2厅 | 104.51平米 | 南 北 | 精装,442人关注 / 10个月以前发布,房子是满五年的，业主在京就这一套商品房，南北通透。,490,世纪星城三期 
北关,单价50620元/平米,中楼层(共10层)2010年建板楼  -  , | 2室1厅 | 75.07平米 | 南 西 | 精装,26人关注 / 2个月以前发布,地铁6号线  温榆河旁  精装两居 诚心出售,380,8哩岛 
武夷花园,单价64548元/平米,中楼层(共6层)2004年建板楼  -  , | 2室2厅 | 102.25平米 | 南 北 | 简装,7人关注 / 2个月以前发布,BOBO自由城 2室2厅 660万,660,BOBO自由城 
通州其它,单价40054元/平米,顶层(共6层)2003年建板楼  -  , | 2室1厅 | 82.39平米 | 南 北 | 其他,61人关注 / 2个月以前发布,华馨园 2室1厅 330万,330,华馨园 
潞苑,单价44688元/平米,低楼层(共9层)2005年建板楼  -  , | 2室1厅 | 120.84平米 | 南 北 | 精装,11人关注 / 2个月以前发布,珠江国际城八区，两室两卫，南北朝向,540,珠江国际城八区 
临河里,单价47303元/平米,底层(共6层)2006年建板楼  -  , | 2室1厅 | 88.79平米 | 南 北 | 精装,28人关注 / 2个月以前发布,南北通透，客厅挑高3.1米，一层带院,420,久居雅园 
通州北苑,单价43302元/平米,低楼层(共6层)1996年建板楼  -  , | 2室1厅 | 68.82平米 | 东 西 | 精装,0人关注 / 2个月以前发布,西果园小区 2室1厅 298万,298,西果园小区 
万达,单价47442元/平米,低楼层(共6层)1982年建板楼  -  , | 2室1厅 | 59.02平米 | 南 北 | 简装,20人关注 / 2个月以前发布,后南仓 2室1厅 280万,280,后南仓 
临河里,单价55397元/平米,低楼层(共26层)2014年建板楼  -  , | 2室2厅 | 87.55平米 | 南 | 精装,43人关注 / 1个月以前发布,2016年社区，原值441万，无个税，精装修，首付260万,485,华业东方玫瑰C区 
玉桥,单价42405元/平米,低楼层(共21层)2010年建板楼  -  , | 2室1厅 | 67.21平米 | 南 北 | 精装,44人关注 / 1个月以前发布,南北通透，2010年电梯两居室,285,玉桥东里 
梨园,单价44085元/平米,高楼层(共6层)2004年建板楼  -  , | 2室1厅 | 83.93平米 | 东 南 北 | 精装,5人关注 / 1个月以前发布,幸福时光 2室1厅 370万,370,幸福时光 
潞苑,单价39607元/平米,高楼层(共6层)1996年建板楼  -  , | 2室1厅 | 88.37平米 | 南 北 | 精装,0人关注 / 1个月以前发布,东潞苑 2室1厅 350万,350,东潞苑 
万达,单价47333元/平米,高楼层(共6层)1991年建板楼  -  , | 2室1厅 | 63.17平米 | 南 北 | 简装,6人关注 / 1个月以前发布,中仓小区 2室1厅 299万,299,中仓小区 
潞苑,单价44575元/平米,中楼层(共6层)2004年建板楼  -  , | 2室2厅 | 94平米 | 南 北 | 简装,2人关注 / 1个月以前发布,通州新城 满五年唯一 南北两居,419,新潮嘉园二期 
潞苑,单价34567元/平米,顶层(共6层)2000年建板楼  -  , | 2室2厅 | 111.67平米 | 南 北 | 精装,11人关注 / 1个月以前发布,华龙小区 2室2厅 386万,386,华龙小区 
万达,单价50848元/平米,低楼层(共7层)2001年建板楼  -  , | 2室2厅 | 94.4平米 | 南 北 | 简装,4人关注 / 1个月以前发布,北小园 2室2厅 480万,480,北小园 
通州北苑,单价49014元/平米,底层(共6层)2001年建板楼  -  , | 2室1厅 | 85.69平米 | 南 北 | 精装,8人关注 / 1个月以前发布,杨庄22号院 2室1厅 420万,420,杨庄22号院 
北关,单价45710元/平米,高楼层(共6层)1994年建板楼  -  , | 2室1厅 | 87.51平米 | 南 北 | 简装,1人关注 / 1个月以前发布,万福家园 2室1厅 400万,400,万福家园 
潞苑,单价42827元/平米,底层(共11层)2010年建板塔结合  -  , | 2室1厅 | 93.4平米 | 南 北 | 精装,4人关注 / 25天以前发布,珠江拉维小镇 2室1厅 400万,400,珠江拉维小镇 
马驹桥,单价30128元/平米,中楼层(共14层)2011年建板楼  -  , | 2室1厅 | 91.28平米 | 南 北 | 其他,6人关注 / 22天以前发布,合生世界村 2室1厅 275万,275,合生世界村 
武夷花园,单价61744元/平米,低楼层(共35层)2011年建塔楼  -  , | 2室1厅 | 82.6平米 | 西北 | 其他,4人关注 / 21天以前发布,京贸国际城西区西北向两居室，业主诚售,510,京贸国际城西区 
临河里,单价53290元/平米,低楼层(共22层)2012年建板楼  -  , | 2室1厅 | 91.95平米 | 东 西 | 精装,4人关注 / 21天以前发布,华业东方玫瑰D区 2室1厅 490万,490,华业东方玫瑰D区 
万达,单价45374元/平米,顶层(共5层)1984年建板楼  -  , | 2室1厅 | 56.2平米 | 南 北 | 其他,6人关注 / 20天以前发布,东方生活区 2室1厅 255万,255,东方生活区 
九棵树(家乐福),单价58843元/平米,中楼层(共27层)2015年建板楼  -  , | 2室1厅 | 91.77平米 | 南 | 简装,3人关注 / 18天以前发布,K2玉蘭湾 2室1厅 540万,540,K2玉蘭湾 
梨园,单价45412元/平米,顶层(共6层)2001年建板楼  -  , | 2室1厅 | 63.64平米 | 南 北 | 精装,4人关注 / 13天以前发布,梨园东里 南北通透 精装修 正规小两居室 满两年,289,梨园东里 
果园,单价52989元/平米,中楼层(共6层)1994年建板楼  -  , | 2室1厅 | 60.39平米 | 南 北 | 其他,3人关注 / 11天以前发布,葛布店北里 2室1厅 320万,320,葛布店北里 
临河里,单价52950元/平米,低楼层(共27层)2012年建板楼  -  , | 2室1厅 | 89.33平米 | 南 北 | 精装,4人关注 / 8天以前发布,华业东方玫瑰D区 2室1厅 473万,473,华业东方玫瑰D区 
通州其它,单价38107元/平米,高楼层(共6层)2000年建板楼  -  , | 2室1厅 | 70.33平米 | 东 西 | 精装,0人关注 / 6天以前发布,徐辛庄 2室1厅 268万,268,徐辛庄 
万达,单价42734元/平米,底层(共6层)1995年建板楼  -  , | 2室1厅 | 73.01平米 | 南 北 | 简装,182人关注 / 一年前发布,低楼层 低总价 南北两居 万达商圈,312,复兴北里 
九棵树(家乐福),单价47810元/平米,顶层(共6层)2008年建板楼  -  , | 2室1厅 | 74.88平米 | 东 南 北 | 精装,192人关注 / 11个月以前发布,阿尔法社区 2室1厅 358万,358,阿尔法社区 
果园,单价59575元/平米,高楼层(共7层)2002年建板楼  -  , | 2室1厅 | 68.15平米 | 南 北 | 简装,87人关注 / 9个月以前发布,新华联复式  东直门医院 满5年 八通线果园站 带露台,406,新华联家园南区 
临河里,单价53833元/平米,中楼层(共27层)2012年建板楼  -  , | 2室1厅 | 92.88平米 | 南 | 其他,7人关注 / 1个月以前发布,华业东方玫瑰B区 2室1厅 500万,500,华业东方玫瑰B区 
临河里,单价54859元/平米,顶层(共27层)2012年建板楼  -  , | 2室1厅 | 89.32平米 | 南 | 简装,6人关注 / 1个月以前发布,华业东方玫瑰D区 2室1厅 490万,490,华业东方玫瑰D区 
临河里,单价52594元/平米,顶层(共18层)2014年建板楼  -  , | 2室1厅 | 83.66平米 | 南 | 精装,9人关注 / 1个月以前发布,南向两居，三阳开泰户型，高楼层，视野开阔采光充足,440,华远铭悦 
临河里,单价51238元/平米,高楼层(共27层)2013年建板塔结合  -  , | 2室1厅 | 92.9平米 | 南 | 精装,14人关注 / 1个月以前发布,华业东方玫瑰B区 2室1厅 476万,476,华业东方玫瑰B区 
马驹桥,单价39740元/平米,低楼层(共17层)2009年建板楼  -  , | 2室1厅 | 75.24平米 | 东 南 | 其他,10人关注 / 30天以前发布,融科香雪兰溪 精装东南向大两居  可拎包入住 看房方便,299,融科香雪兰溪 
果园,单价47386元/平米,顶层(共7层)2001年建板楼  -  , | 2室2厅 | 59.09平米 | 南 北 | 精装,23人关注 / 27天以前发布,果园西小区 2室2厅 280万,280,果园西小区 
潞苑,单价39091元/平米,底层(共6层)2001年建板楼  -  , | 2室2厅 | 94.14平米 | 南 北 | 简装,4人关注 / 19天以前发布,上潞园 2室2厅 368万,368,上潞园 
九棵树(家乐福),单价56339元/平米,顶层(共6层)2004年建板楼  -  , | 2室1厅 | 67.45平米 | 东南 南 | 简装,9人关注 / 4个月以前发布,靓景明居 2室1厅 380万,380,靓景明居 
万达,单价45383元/平米,顶层(共6层)2001年建板楼  -  , | 2室1厅 | 87.92平米 | 南 北 | 简装,5人关注 / 3个月以前发布,北小园南北通透两居室 采光充足 交通便捷,399,北小园 
梨园,单价54006元/平米,顶层(共5层)2004年建板楼  -  , | 2室1厅 | 77.77平米 | 南 北 | 其他,9人关注 / 2个月以前发布,幸福时光 2室1厅 420万,420,幸福时光 
九棵树(家乐福),单价51081元/平米,低楼层(共6层)2005年建板楼  -  , | 2室1厅 | 92.99平米 | 南 北 | 精装,16人关注 / 30天以前发布,南北通透，格局方正，全明户型，不临街,475,靓景明居 
通州其它,单价40094元/平米,低楼层(共12层)2015年建板楼  -  , | 2室1厅 | 63.85平米 | 南 北 | 其他,12人关注 / 19天以前发布,东亚印象台湖 2室1厅 256万,256,东亚印象台湖 
北关,单价42882元/平米,高楼层(共23层)2004年建塔楼  -  , | 2室1厅 | 87.45平米 | 东 北 | 简装,5人关注 / 19天以前发布,通州商务区 高楼层视野好 满五年业主家庭唯一住房,375,碧水明珠 
临河里,单价50528元/平米,中楼层(共14层)2010年建板楼  -  , | 2室2厅 | 91.04平米 | 南 | 精装,8人关注 / 8个月以前发布,满五年，明厨明卫，精装修，光线好，楼层好！,460,DBC加州小镇C区 
武夷花园,单价55623元/平米,中楼层(共6层)2002年建板楼  -  , | 2室1厅 | 83.6平米 | 南 北 | 简装,56人关注 / 7个月以前发布,满五年，只缴契税，南北通透，采光好，视野开阔。,465,河畔丽景 
潞苑,单价42932元/平米,顶层(共5层)2001年建板楼  -  , | 2室1厅 | 80.36平米 | 南 北 | 精装,23人关注 / 6个月以前发布,满北通透   满五唯一   采光好   349万,345,华龙小区 
通州北苑,单价40201元/平米,顶层(共6层)1999年建板楼  -  , | 2室1厅 | 75.87平米 | 南 北 | 精装,5人关注 / 5个月以前发布,西马庄园 2室1厅 305万,305,西马庄园 
万达,单价46077元/平米,中楼层(共23层)2002年建塔楼  -  , | 2室1厅 | 141.07平米 | 南 | 精装,9人关注 / 4个月以前发布,此房满五唯一，配套齐全交通便利，视野观半个通州,650,怡佳家园 
万达,单价42434元/平米,顶层(共6层)1989年建板楼  -  , | 2室1厅 | 62.45平米 | 东 西 南 | 简装,17人关注 / 1个月以前发布,同惠南路小区，万达商圈低总价两居室.,265,通惠南路 
潞苑,单价44017元/平米,顶层(共6层)2003年建板楼  -  , | 2室1厅 | 84.06平米 | 南 北 | 简装,15人关注 / 4个月以前发布,潞潮佳苑 2室1厅 370万,370,潞潮佳苑 
梨园,单价47944元/平米,高楼层(共21层)2009年建板塔结合  -  , | 2室1厅 | 93.86平米 | 东 西 | 精装,16人关注 / 4个月以前发布,新通国际花园 通透两居 户型方正,450,新通国际花园 
潞苑,单价43396元/平米,底层(共6层)2002年建板楼  -  , | 2室1厅 | 94.48平米 | 南 北 | 简装,21人关注 / 4个月以前发布,五年唯一 低楼层  适合有老人  南北向大两居,410,新潮嘉园一期 
果园,单价46200元/平米,中楼层(共6层)2001年建板楼  -  , | 2室1厅 | 77.49平米 | 南 | 简装,24人关注 / 4个月以前发布,广渠路第一站，地铁站可步行  不临界小区中间位置,358,天元小区 
马驹桥,单价30658元/平米,顶层(共14层)2011年建板楼  -  , | 2室1厅 | 89.7平米 | 东 西 | 精装,7人关注 / 4个月以前发布,合生世界村 2室1厅 275万,275,合生世界村 
潞苑,单价40405元/平米,低楼层(共22层)2012年建板塔结合  -  , | 2室1厅 | 94.05平米 | 东 南 | 简装,14人关注 / 4个月以前发布,中建雅颂居 2室1厅 380万,380,中建雅颂居 
通州其它,单价47029元/平米,低楼层(共16层)2012年建板楼  -  , | 2室1厅 | 87.16平米 | 南 北 | 精装,24人关注 / 4个月以前发布,此房房本满五年，业主家庭名下只有此房，精装修,409.9,润枫领尚 
临河里,单价58501元/平米,低楼层(共15层)2007年建板楼  -  , | 2室1厅 | 85.47平米 | 南 | 精装,11人关注 / 4个月以前发布,瑞都公园世家南区 2室1厅 500万,500,瑞都公园世家南区 
临河里,单价42796元/平米,低楼层(共29层)2012年建板楼  -  , | 2室1厅 | 87.86平米 | 南 北 | 简装,3人关注 / 3个月以前发布,方恒东景南北通透2居，地铁八通线土桥站,376,方恒东景 
通州北苑,单价49968元/平米,高楼层(共24层)2005年建塔楼  -  , | 2室1厅 | 93.46平米 | 东 | 精装,18人关注 / 3个月以前发布,八通线北苑 两居电梯高层 视野开阔 交通便利,467,通典铭居 
临河里,单价57886元/平米,低楼层(共26层)2011年建板塔结合  -  , | 2室2厅 | 91.56平米 | 东南 | 精装,8人关注 / 3个月以前发布,海棠湾二期 2室2厅 530万,530,海棠湾二期 
